啊啊啊|a1 a1 a1
涌泉穴|yong3 quan2 xue2
佣人|yong1 ren2
庸人|yong1 ren2
永仁|yong3 ren2
用人|yong4 ren2
用人勿疑|yong4 ren2 wu4 yi2
永仁县|yong3 ren2 xian4
用人之长|yong4 ren2 zhi1 chang2
用人之道|yong4 ren2 zhi1 dao4
庸人自扰|yong1 ren2 zi4 rao3
雍容|yong1 rong2
雍容大度|yong1 rong2 da4 du4
雍容大雅|yong1 rong2 da4 ya3
雍容典雅|yong1 rong2 dian3 ya3
雍容尔雅|yong1 rong2 er3 ya3
雍容华贵|yong1 rong2 hua2 gui4
雍荣华贵|yong1 rong2 hua2 gui4
雍容闲雅|yong1 rong2 xian2 ya3
雍荣闲雅|yong1 rong2 xian2 ya3
雍容雅步|yong1 rong2 ya3 bu4
雍荣雅步|yong1 rong2 ya3 bu4
涌入|yong3 ru4
永瑞能|yong3 rui4 neng2
永瑞泰|yong3 rui4 tai4
永瑞坦|yong3 rui4 tan3
咏桑寓柳|yong3 sang1 yu4 liu3
壅塞|yong1 se4
拥塞|yong1 se4
拥塞控制|yong1 se4 kong4 zhi4
永善|yong3 shan4
用膳|yong4 shan4
永善县|yong3 shan4 xian4
用舍行藏|yong4 she3 xing4 cang2
永生|yong3 sheng1
永胜|yong3 sheng4
永生力量|yong3 sheng1 li4 liang4
永生灵魂|yong3 sheng1 ling2 hun2
永生峭壁|yong3 sheng1 qiao4 bi4
永胜县|yong3 sheng4 xian4
永生永世|yong3 sheng1 yong3 shi4
勇士|yong3 shi4
永世|yong3 shi4
永逝|yong3 shi4
用事|yong4 shi4
永世长存|yong3 shi4 chang2 cun2
勇士大厅|yong3 shi4 da4 ting1
勇士岛|yong3 shi4 dao3
永矢弗谖|yong3 shi3 fu2 xuan1
永适泰|yong3 shi4 tai4
永适特|yong3 shi4 te4
永世无穷|yong3 shi4 wu2 qiong2
勇士印记|yong3 shi4 yin4 ji4
勇士战甲|yong3 shi4 zhan4 jia3
勇士之力|yong3 shi4 zhi1 li4
勇士之墓|yong3 shi4 zhi1 mu4
永寿|yong3 shou4
用受福釐|yong4 shou4 fu2 li2
永寿县|yong3 shou4 xian4
拥书百城|yong1 shu1 bai3 cheng2
拥书南面|yong1 shu1 nan2 mian4
用水量|yong4 shui3 liang4
永顺|yong3 shun4
永顺县|yong3 shun4 xian4
庸俗|yong1 su2
庸俗化|yong1 su2 hua4
永泰|yong3 tai4
永泰县|yong3 tai4 xian4
咏叹|yong3 tan4
泳坛|yong3 tan2
咏叹调|yong3 tan4 diao4
用天因地|yong4 tian1 yin1 di4
用途|yong4 tu2
永托于风|yong3 tuo1 yu2 feng1
永望|yong3 wang4
永望镇|yong3 wang4 zhen4
勇往直前|yong3 wang3 zhi2 qian2
永为藩翰|yong3 wei2 fan1 han4
永为家宝|yong3 wei2 jia1 bao3
永为世箴|yong3 wei2 shi4 zhen1
勇武|yong3 wu3
用武|yong4 wu3
拥雾翻波|yong1 wu4 fan1 bo1
永无宁日|yong3 wu2 ning2 ri4
用武之地|yong4 wu3 zhi1 di4
永无止境|yong3 wu2 zhi3 jing4
永锡繁祉|yong3 xi1 fan2 zhi3
用夏变夷|yong4 xia4 bian4 yi2
涌现|yong3 xian4
用项|yong4 xiang5
永相随|yong3 xiang1 sui2
永新|yong3 xin1
用心|yong4 xin1
用心竭力|yong4 xin1 jie2 li4
用心良苦|yong4 xin1 liang2 ku3
永新区|yong3 xin1 qu1
用心思|yong4 xin1 si1
永新县|yong3 xin1 xian4
用心险恶|yong4 xin1 xian3 e4
用心用意|yong4 xin1 yong4 yi4
永兴|yong3 xing4
用刑|yong4 xing2
用行舍藏|yong4 xing4 she3 cang2
永兴县|yong3 xing4 xian4
永修|yong3 xiu1
永修县|yong3 xiu1 xian4
永言孝思|yong3 yan2 xiao4 si1
庸言庸行|yong1 yan2 yong1 xing4
用药|yong4 yao4
用药方案|yong4 yao4 fang1 an4
永夜|yong3 ye4
永夜港|yong3 ye4 gang3
永夜港者|yong3 ye4 gang3 zhe3
勇毅|yong3 yi4
庸医|yong1 yi1
用以|yong4 yi3
用意|yong4 yi4
用逸待劳|yong4 yi4 dai4 lao2
庸医杀人|yong1 yi1 sha1 ren2
永颖|yong3 ying3
庸庸|yong1 yong1
永永福流|yong3 yong3 fu2 liu2
庸庸碌碌|yong1 yong1 lu4 lu4
雍雍明堂|yong1 yong1 ming2 tang2
永永万年|yong3 yong3 wan4 nian2
永永无穷|yong3 yong3 wu2 qiong2
拥有|yong1 you3
勇于|yong3 yu2
用于|yong4 yu2
用语|yong4 yu3
永远|yong3 yuan3
永远醒目|yong3 yuan3 xing3 mu4
踊跃|yong3 yue4
咏月嘲风|yong3 yue4 chao2 feng1
咏月嘲花|yong3 yue4 chao2 hua1
踊跃欢呀|yong3 yue4 huan1 ya5
永在|yong3 zai4
勇者大厅|yong3 zhe3 da4 ting1
雍正|yong1 zheng4
拥政爱民|yong1 zheng4 ai4 min2
用智铺谋|yong4 zhi4 pu1 mou2
勇之水精|yong3 zhi1 shui3 jing1
泳钟|yong3 zhong1
臃肿|yong1 zhong3
佣中佼佼|yong1 zhong1 jiao3 jiao3
庸中佼佼|yong1 zhong1 jiao3 jiao3
庸中皦皦|yong1 zhong1 jiao3 jiao3
永州|yong3 zhou1
永州市|yong3 zhou1 shi4
永州视窗|yong3 zhou1 shi4 chuang1
永驻|yong3 zhu4
泳装|yong3 zhuang1
用作|yong4 zuo4
用做|yong4 zuo4
友爱|you3 ai4
有碍|you3 ai4
幽暗|you1 an4
幽暗城|you1 an4 cheng2
幽暗蝠|you1 an4 fu2
有案可查|you3 an4 ke3 cha2
有案可稽|you3 an4 ke3 ji1
有安其驱|you3 an1 qi2 qu1
幽暗沼泽|you1 an4 zhao3 ze2
游伴|you5 ban4
釉板|you4 ban3
右半球|you4 ban4 qiu2
幼斑蝎|you4 ban1 xie1
有板有眼|you3 ban3 you3 yan3
友邦|you3 bang1
邮包|you2 bao1
幼暴狼|you4 bao4 lang2
有备无患|you3 bei4 wu2 huan4
有被小泡|you3 bei4 xiao3 pao4
有被小窝|you3 bei4 xiao3 wo1
有被液泡|you3 bei4 ye4 pao4
有悖于|you3 bei4 yu2
有本有原|you3 ben3 you3 yuan2
有本有源|you3 ben3 you3 yuan2
油泵|you2 beng4
右臂|you4 bi4
幽闭|you1 bi4
诱逼|you4 bi1
油壁车|you2 bi4 che1
有飶嘉豆|you3 bi4 jia1 dou4
幽闭牢阱|you1 bi4 lao2 jing3
油壁香车|you2 bi4 xiang1 che1
游必有方|you5 bi4 you3 fang1
右边|you4 bian1
诱变|you4 bian4
邮编|you2 bian1
诱变育种|you4 bian4 yu4 zhong3
游标|you5 biao1
由表及里|you2 biao3 ji2 li3
游标卡尺|you5 biao1 ka3 chi3
有别|you3 bie2
有彬伊父|you3 bin1 yi1 fu4
有病|you3 bing4
油饼|you2 bing5
右丙亚胺|you4 bing3 ya4 an4
右丙氧芬|you4 bing3 yang3 fen1
由博返约|you2 bo2 fan3 yue1
油布|you2 bu4
诱捕|you4 bu3
诱捕毒药|you4 bu3 du2 yao4
油彩|you2 cai3
油菜|you2 cai4
油菜花|you2 cai4 hua1
油彩皮炎|you2 cai3 pi2 yan2
有才无命|you3 cai2 wu2 ming4
有财有势|you3 cai2 you3 shi4
油菜子|you2 cai4 zi3
油藏|you2 cang2
右侧|you4 ce4
油层|you2 ceng2
油茶|you2 cha2
油茶面|you2 cha2 mian4
油茶面儿|you2 cha2 mian4 er2
邮差|you2 chai1
邮差长裤|you2 chai1 chang2 ku4
邮差徽记|you2 chai1 hui1 ji4
邮差头环|you2 chai1 tou2 huan2
邮差外套|you2 chai1 wai4 tao4
有产阶级|you3 chan3 jie1 ji2
忧谗畏讥|you1 chan2 wei4 ji1
有产者|you3 chan3 zhe3
悠长|you1 chang2
有偿|you3 chang2
幽畅乎而|you1 chang4 hu1 er2
有偿转让|you3 chang2 zhuan3 rang4
邮车|you2 che1
又称|you4 cheng1
有成|you3 cheng2
游程|you5 cheng2
游程编码|you5 cheng2 bian1 ma3
有齿的|you3 chi3 de5
有耻且格|you3 chi3 qie3 ge2
幼虫|you4 chong2
诱虫灯|you4 chong2 deng1
幼虫粘液|you4 chong2 nian2 ye4
忧愁|you1 chou2
幼畜|you4 chu4
幼雏|you4 chu2
游出|you5 chu1
有出入|you3 chu1 ru4
油船|you2 chuan2
游船|you5 chuan2
邮船|you2 chuan2
游春|you5 chun1
有莼有鱼|you3 chun2 you3 yu2
邮戳|you2 chuo1
由此|you2 ci3
由此及彼|you2 ci3 ji2 bi3
由此可见|you2 ci3 ke3 jian4
由此可知|you2 ci3 ke3 zhi1
游辞巧饰|you5 ci2 qiao3 shi4
釉丛|you4 cong2
忧从中催|you1 cong2 zhong1 cui1
有错|you3 cuo4
犹大|you2 da4
由打|you2 da3
优哒灵|you1 da1 ling2
优待|you1 dai4
有待|you3 dai4
邮袋|you2 dai4
有胆有识|you3 dan3 you3 shi2
悠荡|you1 dang4
游荡|you5 dang4
又当别论|you4 dang1 bie2 lun4
游荡长靴|you5 dang4 chang2 xue1
游荡恐兽|you5 dang4 kong3 shou4
游荡瘟疫|you5 dang4 wen1 yi4
游荡者|you5 dang4 zhe3
诱导|you4 dao3
诱导幻象|you4 dao3 huan4 xiang4
诱导前期|you4 dao3 qian2 qi1
诱导色|you4 dao3 se4
有道是|you3 dao4 shi4
诱导物|you4 dao3 wu4
诱导效应|you4 dao3 xiao4 ying4
诱导性|you4 dao3 xing4
诱导学说|you4 dao3 xue2 shuo1
诱导运动|you4 dao3 yun4 dong4
有盗在夏|you3 dao4 zai4 xia4
有得|you3 de2
有的|you3 de5
有的是|you3 de5 shi4
有得有失|you3 de2 you3 shi1
优等|you1 deng3
油灯|you2 deng1
游灯|you5 deng1
有底|you3 di3
疣迪|you2 di2
诱敌|you4 di2
邮递|you2 di4
尤迪安|you2 di2 an1
疣迪搽剂|you2 di2 cha2 ji4
有的放矢|you3 di2 fang4 shi3
诱敌深入|you4 di2 shen1 ru4
邮递员|you2 di4 yuan2
油底子|you2 di3 zi3
优点|you1 dian3
有点|you3 dian3
邮电|you2 dian4
邮电部|you2 dian4 bu4
有点儿|you3 dian3 er2
邮电局|you2 dian4 ju2
邮电所|you2 dian4 suo3
游动|you5 dong4
游动孢子|you5 dong4 bao1 zi3
游动胆囊|you5 dong4 dan3 nang2
有东风|you3 dong1 feng1
游动精子|you5 dong4 jing1 zi3
游动配子|you5 dong4 pei4 zi3
有豆孔硕|you3 dou4 kong3 shuo4
有毒|you3 du2
有毒动物|you3 du2 dong4 wu4
又睹新月|you4 du3 xin1 yue4
有毒性|you3 du2 xing4
狖轭鼯轩|you4 e4 wu2 xuan1
右耳|you4 er3
幼儿|you4 er2
诱饵|you4 er3
幼儿急疹|you4 er2 ji2 zhen3
幼儿教育|you4 er2 jiao4 yu4
幼儿期|you4 er2 qi1
有饵其诱|you3 er3 qi2 you4
有二说二|you3 er4 shuo1 er4
尤而效之|you2 er2 xiao4 zhi1
幼儿园|you4 er2 yuan2
诱饵植物|you4 er3 zhi2 wu4
油阀|you2 fa2
诱发|you4 fa1
邮发|you2 fa1
有法必依|you3 fa3 bi4 yi1
诱发电位|you4 fa1 dian4 wei4
诱发故障|you4 fa1 gu4 zhang4
有法可依|you3 fa3 ke3 yi1
诱发突变|you4 fa1 tu1 bian4
忧烦|you1 fan2
右泛醇|you4 fan4 chun2
友方|you3 fang1
右方|you4 fang1
有方|you3 fang1
油坊|you2 fang1
游方|you5 fang1
邮费|you2 fei4
有匪君子|you3 fei3 jun1 zi3
有斐君子|you3 fei3 jun1 zi3
有匪我心|you3 fei3 wo3 xin1
幽愤|you1 fen4
忧愤|you1 fen4
忧愤成疾|you1 fen4 cheng2 ji2
有分寸|you3 fen1 cun4
幼蜂|you4 feng1
有凤来仪|you3 feng4 lai2 yi2
游蜂浪蝶|you5 feng1 lang4 die2
游蜂戏蝶|you5 feng1 xi4 die2
有风有化|you3 feng1 you3 hua4
友风子雨|you3 feng1 zi3 yu3
优抚|you1 fu3
优福定|you1 fu2 ding4
优福定片|you1 fu2 ding4 pian4
优弗林|you1 fu2 lin2
优福宁|you1 fu2 ning2
优芙宁|you1 fu2 ning2
优氟泰|you1 fu2 tai4
有福同享|you3 fu2 tong2 xiang3
有富无窭|you3 fu4 wu2 ju4
有负众望|you3 fu4 zhong4 wang4
幼夫诸|you4 fu1 zhu1
有感|you3 gan3
油干灯尽|you2 gan4 deng1 jin4
油干火尽|you2 gan4 huo3 jin4
油橄榄|you2 gan3 lan3
有杆瀑|you3 gan3 pu4
有竿斯竹|you3 gan1 si1 zhu2
油柑头|you2 gan1 tou2
油港|you2 gang3
油膏|you2 gao1
油膏罐|you2 gao1 guan4
尤格尔|you2 ge2 er3
尤格雷克|you2 ge2 lei2 ke4
有隔膜的|you3 ge2 mo2 de5
犹根|you2 gen1
犹根农场|you2 gen1 nong2 chang3
有根有底|you3 gen1 you3 di3
有根有据|you3 gen1 you3 ju4
有根有苗|you3 gen1 you3 miao2
有功|you3 gong1
油工|you2 gong1
诱供|you4 gong4
忧公忘私|you1 gong1 wang4 si1
油垢|you2 gou4
邮购|you2 gou4
幽谷|you1 gu3
诱拐|you4 guai3
攸关|you1 guan1
有关|you3 guan1
油管|you2 guan3
油罐|you2 guan4
油罐车|you2 guan4 che1
有关单位|you3 guan1 dan1 wei4
有关方面|you3 guan1 fang1 mian4
有关精神|you3 guan1 jing1 shen2
幽光|you1 guang1
油光|you2 guang1
游逛|you5 guang4
油光晶亮|you2 guang1 jing1 liang4
油光可鉴|you2 guang1 ke3 jian4
幽光矿洞|you1 guang1 kuang4 dong4
油光水滑|you2 guang1 shui3 hua2
游光扬声|you5 guang1 yang2 sheng1
有光纸|you3 guang1 zhi3
右归|you4 gui1
有鬼|you3 gui3
右归胶囊|you4 gui1 jiao1 nang2
右归丸|you4 gui1 wan2
有鬼有神|you3 gui3 you3 shen2
忧国爱民|you1 guo2 ai4 min2
忧国奉公|you1 guo2 feng4 gong1
有国难投|you3 guo2 nan2 tou2
忧国忘家|you1 guo2 wang4 jia1
忧国忧民|you1 guo2 you1 min2
有过之|you3 guo4 zhi1
有害|you3 hai4
有害无利|you3 hai4 wu2 li4
祐汉街市|you4 han4 jie1 shi4
幽寒披风|you1 han2 pi1 feng1
有行无市|you3 hang2 wu2 shi4
友好|you3 hao3
油耗|you2 hao4
油耗比|you2 hao4 bi3
友好区|you3 hao3 qu1
油耗子|you2 hao4 zi3
有何面目|you3 he2 mian4 mu4
有核细胞|you3 he2 xi4 bao1
油黑|you2 hei1
黝黑|you3 hei1
有恒|you3 heng2
幽恒青魏|you1 heng2 qing1 wei4
尤红殢翠|you2 hong2 ti4 cui4
又哄又劝|you4 hong3 you4 quan4
又红又专|you4 hong2 you4 zhuan1
优厚|you1 hou4
幼虎|you4 hu3
悠忽|you1 hu1
油乎乎|you2 hu1 hu1
油葫芦|you2 hu2 lu2
游狐网|you5 hu2 wang3
优化|you1 hua4
油滑|you2 hua2
油画|you2 hua4
油花|you2 hua1
优化操作|you1 hua4 cao1 zuo4
尤花殢雪|you2 hua1 ti4 xue3
幼花蝎|you4 hua1 xie1
有花植物|you3 hua1 zhi2 wu4
优化组合|you1 hua4 zu3 he2
有怀载迁|you3 huai2 zai3 qian1
有怀载殷|you3 huai2 zai3 yin1
忧患|you1 huan4
忧患余生|you1 huan4 yu2 sheng1
幽篁|you1 huang2
优惠|you1 hui4
幽会|you1 hui4
游贿|you5 hui4
邮汇|you2 hui4
优惠待遇|you1 hui4 dai4 yu4
游回磨转|you5 hui2 mo2 zhuan3
有会子|you3 hui4 zi3
幽魂|you1 hun2
游魂|you5 hun2
幽魂甲|you1 hun2 jia3
幽魂塔|you1 hun2 ta3
幽魂外形|you1 hun2 wai4 xing2
幽魂熊爪|you1 hun2 xiong2 zhao3
幽魂腰饰|you1 hun2 yao1 shi4
幽魂之地|you1 hun2 zhi1 di4
幽魂之狼|you1 hun2 zhi1 lang2
诱惑|you4 huo4
幼火蚕|you4 huo3 can2
诱惑之吻|you4 huo4 zhi1 wen3
又及|you4 ji2
幽寂|you1 ji4
有机|you3 ji1
油鸡|you2 ji1
游击|you5 ji1
游记|you5 ji4
邮寄|you2 ji4
有机玻璃|you3 ji1 bo1 li2
游击队|you5 ji1 dui4
尤基尔|you2 ji1 er3
有机肥料|you3 ji1 fei2 liao4
有机合成|you3 ji1 he2 cheng2
有机化学|you3 ji1 hua4 xue2
有机可乘|you3 ji1 ke3 cheng2
游击区|you5 ji1 qu1
有机染料|you3 ji1 ran3 liao4
有机酸|you3 ji1 suan1
有机体|you3 ji1 ti3
有机物|you3 ji1 wu4
有己无人|you3 ji3 wu2 ren2
有几在室|you3 ji3 zai4 shi4
游击战|you5 ji1 zhan4
有机质|you3 ji1 zhi4
釉基质|you4 ji1 zhi4
由家|you2 jia1
尤加尔|you2 jia1 er3
优甲乐|you1 jia3 le4
有家难奔|you3 jia1 nan2 ben1
有加无已|you3 jia1 wu2 yi3
有价证券|you3 jia4 zheng4 quan4
有间|you3 jian1
诱奸|you4 jian1
邮件|you2 jian4
油煎火燎|you2 jian1 huo3 liao2
幽涧泉|you1 jian4 quan2
右翦左屠|you4 jian3 zuo3 tu2
有奖|you3 jiang3
优降糖|you1 jiang4 tang2
优降糖片|you1 jiang4 tang2 pian4
有奖销售|you3 jiang3 xiao1 shou4
幼教|you4 jiao4
油浇火燎|you2 jiao1 huo3 liao2
有脚书厨|you3 jiao3 shu1 chu2
有脚书橱|you3 jiao3 shu1 chu2
有教无类|you3 jiao4 wu2 lei4
有脚阳春|you3 jiao3 yang2 chun1
游街|you5 jie1
釉结|you4 jie2
犹解倒悬|you2 jie3 dao3 xuan2
有界网|you3 jie4 wang3
有借无还|you3 jie4 wu2 huan1
有界性|you3 jie4 xing4
有秸有莞|you3 jie5 you3 guan3
幽禁|you1 jin4
有劲|you3 jin4
有劲儿|you3 jin4 er2
由近及远|you2 jin4 ji2 yuan3
有进无退|you3 jin4 wu2 tui4
有进有退|you3 jin4 you3 tui4
幽径|you1 jing4
幽静|you1 jing4
油井|you2 jing3
尤靖安|you2 jing4 an1
有惊无险|you3 jing1 wu2 xian3
有精无险|you3 jing1 wu2 xian3
又惊又喜|you4 jing1 you4 xi3
悠久|you1 jiu3
有救|you3 jiu4
有旧|you3 jiu4
幽居|you1 ju1
忧惧|you1 ju4
邮局|you2 ju2
有巨根蒂|you3 ju4 gen1 di4
邮局协议|you2 ju2 xie2 yi4
右句型|you4 ju4 xing2
友军|you3 jun1
右军习气|you4 jun1 xi2 qi4
尤卡|you2 ka3
有开者閤|you3 kai1 zhe3 ge2
优克|you1 ke4
幼壳|you4 ke2
游客|you5 ke4
优克龙|you1 ke4 long2
优可依|you1 ke3 yi1
有客至门|you3 ke4 zhi4 men2
有孔虫|you3 kong3 chong2
有空儿|you3 kong1 er2
犹恐失之|you2 kong3 shi1 zhi1
有口皆碑|you3 kou3 jie1 bei1
有口难辩|you3 kou3 nan2 bian4
有口难分|you3 kou3 nan2 fen1
有口难言|you3 kou3 nan2 yan2
有口无心|you3 kou3 wu2 xin1
有口无行|you3 kou3 wu2 xing4
优酷|you1 ku4
油库|you2 ku4
有苦难言|you3 ku3 nan2 yan2
优酷网|you1 ku4 wang3
又哭又闹|you4 ku1 you4 nao4
油矿|you2 kuang4
幼狂狼|you4 kuang2 lang2
有恇其凶|you3 kuang1 qi2 xiong1
有愧|you3 kui4
尤拉莱克|you2 la1 lai2 ke4
有赖|you3 lai4
由来|you2 lai2
友来特|you3 lai2 te4
有来无回|you3 lai2 wu2 hui2
由来已久|you2 lai2 yi3 jiu3
有来有往|you3 lai2 you3 wang3
有赖于|you3 lai4 yu2
幽兰|you1 lan2
游览|you5 lan3
游览车|you5 lan3 che1
幽兰村|you1 lan2 cun1
幽兰谷|you1 lan2 gu3
幽兰露|you1 lan2 lu4
游览图|you5 lan3 tu2
幼狼|you4 lang2
游廊|you5 lang2
有劳|you3 lao2
游乐|you5 le4
犹勒|you2 le4
游乐场|you5 le4 chang3
优乐沛|you1 le4 pei4
有乐在庭|you3 le4 zai4 ting2
右肋|you4 lei4
有棱有角|you3 leng2 you3 jiao3
尤力|you2 li4
尤里|you2 li3
幽丽|you1 li4
有利|you3 li4
有力|you3 li4
有理|you3 li3
油里|you2 li3
游历|you5 li4
游离|you5 li2
有理方程|you3 li3 fang1 cheng2
优力肤霜|you1 li4 fu1 shuang1
游离汞|you5 li2 gong3
游离基因|you5 li2 ji1 yin1
尤里卡|you2 li3 ka3
有利可图|you3 li4 ke3 tu2
有例可援|you3 li4 ke3 yuan2
游离酶|you5 li2 mei2
游离皮瓣|you5 li2 pi2 ban4
尤力青|you2 li4 qing1
有理式|you3 li3 shi4
右利手|you4 li4 shou3
有理数|you3 li3 shu4
优立新|you1 li4 xin1
优力行|you1 li4 xing4
游离龈|you5 li2 yin2
游离龈沟|you5 li2 yin2 gou1
有利有弊|you3 li4 you3 bi4
有理有据|you3 li3 you3 ju4
有利于|you3 li4 yu2
游离缘|you5 li2 yuan2
有脸|you3 lian3
优良|you1 liang2
油亮|you2 liang4
有两下子|you3 liang3 xia4 zi3
优良之|you1 liang2 zhi1
油料|you2 liao4
友僚萃止|you3 liao2 cui4 zhi3
油料作物|you2 liao4 zuo4 wu4
优劣|you1 lie4
游猎|you5 lie4
友邻|you3 lin2
幼林|you4 lin2
幽林|you1 lin2
尤林加|you2 lin2 jia1
优伶|you1 ling2
幼龄|you4 ling2
幽灵|you1 ling2
幽灵磁铁|you1 ling2 ci2 tie3
幽灵岗哨|you1 ling2 gang3 shao4
幽灵菇|you1 ling2 gu1
幽灵鬼域|you1 ling2 gui3 yu4
诱灵蜡烛|you4 ling2 la4 zhu2
幽灵狼|you1 ling2 lang2
幽灵面罩|you1 ling2 mian4 zhao4
幽灵披风|you1 ling2 pi1 feng1
幽灵峡谷|you1 ling2 xia2 gu3
幽灵之舞|you1 ling2 zhi1 wu3
幼龙|you4 long2
游龙|you5 long2
游龙腰饰|you5 long2 yao1 shi4
油路|you2 lu4
邮路|you2 lu4
尤鲁恩|you2 lu3 en1
尤鲁恩湖|you2 lu3 en1 hu2
由六合兮|you2 lu1 he2 xi1
犹鲁斯|you2 lu3 si1
有挛缩型|you3 luan2 suo1 xing2
优伦|you1 lun2
油轮|you2 lun2
邮轮|you2 lun2
忧虑|you1 lv4
油绿|you2 lv4
右吗拉胺|you4 ma5 la1 an4
油麦|you2 mai4
莜麦|you2 mai4
油毛毡|you2 mao2 zhan1
优美|you1 mei3
幽美|you1 mei3
有眉目|you3 mei2 mu4
优酶散|you1 mei2 san4
右美沙芬|you4 mei3 sha1 fen1
有没有|you3 mei2 you3
有没有人|you3 mei2 you3 ren2
幽门|you1 men2
忧闷|you1 men4
油门|you2 men2
幽门闭锁|you1 men2 bi4 suo3
有门儿|you3 men2 er2
幽门梗阻|you1 men2 geng3 zu3
幽门蹼|you1 men2 pu3
幽门狭窄|you1 men2 xia2 zhai3
幽门穴|you1 men2 xue2
优孟衣冠|you1 meng4 yi1 guan4
邮迷|you2 mi2
优泌乐|you1 mi4 le4
优泌林|you1 mi4 lin2
右面|you4 mian4
釉面横纹|you4 mian4 heng2 wen2
幼苗|you4 miao2
游民|you5 min2
幽冥|you1 ming2
有名|you3 ming2
幽冥古道|you1 ming2 gu3 dao4
幽冥冠|you1 ming2 guan4
幽冥鬼火|you1 ming2 gui3 huo3
幽冥火|you1 ming2 huo3
幽冥戒|you1 ming2 jie4
幽冥居|you1 ming2 ju1
幽冥老妖|you1 ming2 lao3 yao1
幽冥利爪|you1 ming2 li4 zhua1
幽冥龙王|you1 ming2 long2 wang2
幽冥履|you1 ming2 lv3
幽冥马面|you1 ming2 ma3 mian4
幽冥牛头|you1 ming2 niu2 tou2
幽冥轻铠|you1 ming2 qing1 kai3
幽冥塔|you1 ming2 ta3
有名亡实|you3 ming2 wang2 shi2
有名无实|you3 ming2 wu2 shi2
幽冥项链|you1 ming2 xiang5 lian4
幽冥腰佩|you1 ming2 yao1 pei4
有名有实|you3 ming2 you3 shi2
幽冥之血|you1 ming2 zhi1 xue4
幽冥之眼|you1 ming2 zhi1 yan3
幽冥重腕|you1 ming2 zhong4 wan4
幽默|you1 mo4
油墨|you2 mo4
幽默感|you1 mo4 gan3
幽默画|you1 mo4 hua4
柚木|you4 mu4
游牧|you5 mu4
游目骋观|you5 mu4 cheng3 guan1
游目骋怀|you5 mu4 cheng3 huai2
有目共睹|you3 mu4 gong4 du3
有目共见|you3 mu4 gong4 jian4
有目共赏|you3 mu4 gong4 shang3
有母怜之|you3 mu3 lian2 zhi1
有目无睹|you3 mu4 wu2 du3
油母页岩|you2 mu3 ye4 yan2
犹纳|you2 na4
尤奈斯|you2 nai4 si1
幼嫩|you4 nen4
优尼|you1 ni2
油泥|you2 ni2
油腻|you2 ni4
尤尼安|you2 ni2 an1
尤尼菲|you2 ni2 fei1
尤尼芬|you2 ni2 fen1
尤尼隆|you2 ni2 long2
尤尼明|you2 ni2 ming2
油腻腻|you2 ni4 ni4
尤尼培|you2 ni2 pei2
尤尼清|you2 ni2 qing1
尤尼舒|you2 ni2 shu1
尤尼坦|you2 ni2 tan3
尤尼仙|you2 ni2 xian1
尤尼欣|you2 ni2 xin1
尤尼雪|you2 ni2 xue3
尤尼怡|you2 ni2 yi2
幼年|you4 nian2
有年|you3 nian2
幼年期|you4 nian2 qi1
有年无月|you3 nian2 wu2 yue4
有鸟反哺|you3 niao3 fan3 bu3
有鸟有鸟|you3 niao3 you3 niao3
优宁|you1 ning2
优诺|you1 nuo4
尤诺|you2 nuo4
幼女|you4 nv3
有女怀春|you3 nv3 huai2 chun1
有女斯夭|you3 nv3 si1 yao1
右袢|you4 pan4
有盼|you3 pan4
友朋|you3 peng2
有朋有书|you3 peng2 you3 shu1
幽僻|you1 pi4
右匹配|you4 pi3 pei4
诱骗|you4 pian4
邮票|you2 piao4
邮品|you2 pin3
有蠙可乘|you3 pin2 ke3 cheng2
油瓶|you2 ping2
有凭有据|you3 ping2 you3 ju4
诱迫|you4 po4
有谱儿|you3 pu3 er2
优普罗康|you1 pu3 luo2 kang1
优普荣|you1 pu3 rong2
优普同|you1 pu3 tong2
尤其|you2 qi2
忧戚|you1 qi1
有气|you3 qi4
油气|you2 qi4
油漆|you2 qi1
游憩|you5 qi4
油漆工|you2 qi1 gong1
油漆匠|you2 qi1 jiang4
有气没力|you3 qi4 mei2 li4
幽期密约|you1 qi1 mi4 yue1
油漆皮炎|you2 qi1 pi2 yan2
有起色|you3 qi3 se4
尤其是|you2 qi2 shi4
油漆桶|you2 qi1 tong3
有期徒刑|you3 qi1 tu2 xing2
游骑无归|you5 qi2 wu2 gui1
有气无力|you3 qi4 wu2 li4
有气无烟|you3 qi4 wu2 yan1
由其言兮|you2 qi2 yan2 xi1
有钱|you3 qian2
有钱人|you3 qian2 ren2
由浅入深|you2 qian3 ru4 shen1
有钱有势|you3 qian2 you3 shi4
油腔滑调|you2 qiang1 hua2 diao4
诱秦诓楚|you4 qin2 kuang1 chu3
忧勤勤兮|you1 qin2 qin2 xi1
有琴斯鸣|you3 qin2 si1 ming2
友情|you3 qing2
右倾|you4 qing1
幽情|you1 qing2
有情|you3 qing2
有请|you3 qing3
有情人|you3 qing2 ren2
有求必应|you3 qiu2 bi4 ying4
有求斯应|you3 qiu2 si1 ying4
游泅运动|you5 qiu2 yun4 dong4
幽趣|you1 qu4
有趣|you3 qu4
油区|you2 qu1
有权|you3 quan2
幽泉法履|you1 quan2 fa3 lv3
优缺点|you1 que1 dian3
悠然|you1 ran2
有染|you3 ran3
油然|you2 ran2
